Title,Price
"ASUS ROG Strix G18 G814JI-N5056W, Gaming Notebook, mit 18 Zoll Display, Intel® Core™ i9,i9-13980HX Prozessor, 32 GB RAM, 1 TB SSD, NVIDIA GeForce RTX™ 4070, Schwarz/Grau, Windows 11 Home (64 Bit)","2199,00€"
"LENOVO IdeaPad Flex 5i, Chromebook Plus, mit 14 Zoll Display, Intel® Core™ i3,i3-1315U Prozessor, 8 GB RAM, 512 GB SSD, Intel® UHD Graphics, Storm Grey, Google Chrome OS","679,00€"
"ACER Chromebook 315 (CB315-3H-C0AY), Chromebook, mit 15,6 Zoll Display, Intel® Celeron®,N4120 Prozessor, 4 GB RAM, 128 GB eMMC, Intel® UHD 600, Pure Silver, Google Chrome OS","349,00€"
"ASUS ZenBook 15 OLED UM3504DA-MA217W, Notebook, mit 15,6 Zoll Display, AMD Ryzen™ 7,7735U Prozessor, 16 GB RAM, 1 TB SSD, AMD Radeon™ 680M, Blau, Windows 11 Home (64 Bit)","1499,00€"
"ACER Chromebook 314 (CB314-3HT-P0U0), Chromebook, mit 14 Zoll Display Touchscreen, Intel® Pentium®,N6000 Prozessor, 4 GB RAM, 128 GB eMMC, Intel® UHD Graphics, Pure Silver, Google Chrome OS","519,00€"
"APPLE MacBook Air (2024), MXCU3D/A, Notebook, mit 13,6 Zoll Display, M3 Prozessor, 16 GB RAM, 512 GB SSD, Silber, macOS","1759,00€"
"APPLE MacBook Pro (2023), Notebook mit 16 Zoll Display, Apple M3 Pro Chip, 18 GB RAM, 18-Core GPU, 512 GB SSD, Space Schwarz","2999,00€"
"APPLE MacBook Air (2022), MLY43D/A, Notebook mit 13,6 Zoll Display, Apple M2 Prozessor, 8 GB RAM, 512 GB SSD, M2, Mitternacht","1429,00€"
"APPLE MacBook Air (2024), MRYM3D/A, Notebook, mit 15,3 Zoll Display, M3 Prozessor, 8 GB RAM, 256 GB SSD, Space Grau, macOS","1599,00€"
"LENOVO Lenovo LOQ 15, Gaming Notebook, mit 15,6 Zoll Display, Intel® Core™ i5,i5-13500H Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX™ 4060, Storm Grey, Windows 11 Home (64 Bit)","1319,00€"
"APPLE MacBook Air (2022), MLY03D/A, Notebook mit 13,6 Zoll Display, Apple M2 Prozessor, 8 GB RAM, 512 GB SSD, M2, Silber","1429,00€"
"ASUS Vivobook Go 15 E510MA-EJ592WS, Laptop, mit 15,6 Zoll Display, Intel® Celeron®,N4020 Prozessor, 4 GB RAM, 128 GB eMMC, Intel® UHD 600, Blau, Windows 11 Home S-Modus (64 Bit)","299,00€"
"APPLE MacBook Air (2024), MRXU3D/A, Notebook, mit 13,6 Zoll Display, M3 Prozessor, 8 GB RAM, 512 GB SSD, Polarstern, macOS","1529,00€"
"MICROSOFT Surface Pro, Copilot+ PC, 11. Edition, Convertible, mit 13 Zoll Display, Qualcomm Snapdragon X Plus, 16 GB RAM, 512 GB SSD, Qualcomm Adreno™ Onboard Graphics, Schwarz, Windows 11 Home (64 Bit)","1449,00€"
"ASUS Vivobook Go 15 E510MA-EJ592WS, Laptop, mit 15,6 Zoll Display, Intel® Celeron®,N4020 Prozessor, 4 GB RAM, 128 GB eMMC, Intel® UHD 600, Blau, Windows 11 Home S-Modus (64 Bit)","299,00€"
"APPLE MacBook Air (2024), MRXU3D/A, Notebook, mit 13,6 Zoll Display, M3 Prozessor, 8 GB RAM, 512 GB SSD, Polarstern, macOS","1529,00€"
"MICROSOFT Surface Pro, Copilot+ PC, 11. Edition, Convertible, mit 13 Zoll Display, Qualcomm Snapdragon X Plus, 16 GB RAM, 512 GB SSD, Qualcomm Adreno™ Onboard Graphics, Schwarz, Windows 11 Home (64 Bit)","1449,00€"
"MEDION E16433, Notebook, mit 16,0 Zoll Display, Intel® Core™ 5,i5-1235U Prozessor, 16 GB RAM, 1 TB SSD, Intel® Iris® Xe, Silber, Windows 11 Home (32 bit)","629,00€"
"MICROSOFT Surface Pro, Copilot+ PC, 11. Edition, OLED, Convertible, mit 13 Zoll Display, Qualcomm Snapdragon X Elite, 16 GB RAM, 1 TB SSD, Qualcomm Adreno™ Onboard Graphics, Platin, Windows 11 Home (64 Bit)","1989,00€"
"ASUS Vivobook 16X OLED K3605VU-MX131W, Notebook, mit 16 Zoll Display, Intel® Core™ i9,i9-13900H Prozessor, 16 GB RAM, 1 TB SSD, NVIDIA GeForce RTX™ 4050, Schwarz, Windows 11 Home (64 Bit)","1799,00€"
"APPLE MacBook Air (2022), MLY23D/A, Notebook mit 13,6 Zoll Display, Apple M2 Prozessor, 8 GB RAM, 512 GB SSD, M2, Polarstern","1429,00€"
"HUAWEI Matebook 14, Notebook, mit 14 Zoll Display, Intel® Core™ i5,i5-1240P Prozessor, 16 GB RAM, 512 GB SSD, Intel® Iris® Xe, Space Gray, Windows 11 Home (64 Bit)","1099,00€"
"ACER Nitro 5 (AN517-55-536Q) mit 144 Hz Display & RGB Tastaturbeleuchtung, Gaming Notebook, mit 17,3 Zoll Display, Intel® Core™ i5,i5-12450H  Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX™ 4050, Schwarz, Windows 11 Home (64 Bit)","1329,00€"
"SAMSUNG Galaxy Book4, Notebook, mit 15,6 Zoll Display, Intel® Core™ 7,150U Prozessor, 16 GB RAM, 512 GB SSD, Intel® Core™ Onboard Graphics, Silver, Windows 11 Pro (64 Bit)","1259,00€"
"ASUS ROG Strix G17 G713PV-LL014W, Gaming Notebook, mit 17,3 Zoll Display, AMD Ryzen™ 9,7945HX  Prozessor, 32 GB RAM, 1 TB SSD, NVIDIA GeForce RTX™ 4060, Schwarz/Grau, Windows 11 Home (64 Bit)","2199,00€"
"MICROSOFT Surface Laptop Go 3, Notebook, mit 12,45 Zoll Display Touchscreen, Intel® Core™ i5,i5-1235U Prozessor, 16 GB RAM, 256 GB SSD, Intel® Iris® Xe, Sandstein, Windows 11 Home (64 Bit)","1149,00€"
